1000	1
7000	1
9000	1
10000	1
11000	1
12000	4
13000	7
14000	3
15000	2
16000	2
17000	6
18000	3
19000	11
20000	11
21000	2
22000	9
23000	10
24000	53
25000	28
26000	18
27000	11
28000	7
29000	9
30000	15
31000	16
32000	29
33000	9
34000	15
35000	14
36000	26
37000	14
38000	19
39000	12
40000	14
41000	32
42000	13
43000	26
44000	29
45000	13
46000	21
47000	18
48000	111
49000	33
50000	33
51000	22
52000	23
53000	28
54000	26
55000	19
56000	36
57000	18
58000	17
59000	35
60000	42
61000	24
62000	31
63000	26
64000	20
65000	29
66000	29
67000	43
68000	39
69000	26
70000	42
71000	31
72000	165
73000	67
74000	66
75000	50
76000	44
77000	25
78000	48
79000	48
80000	49
81000	39
82000	33
83000	39
84000	51
85000	41
86000	74
87000	42
88000	50
89000	40
90000	47
91000	40
92000	51
93000	55
94000	47
95000	59
96000	234
97000	83
98000	78
99000	56
100000	49
101000	68
102000	64
103000	40
104000	68
105000	91
106000	49
107000	51
108000	65
109000	76
110000	67
111000	45
112000	79
113000	60
114000	79
115000	74
116000	90
117000	91
118000	68
119000	84
120000	3081
121000	120
122000	128
123000	72
124000	66
125000	86
126000	81
127000	98
128000	94
129000	123
130000	99
131000	79
132000	92
133000	94
134000	69
135000	80
136000	79
137000	83
138000	110
139000	72
140000	120
141000	99
142000	82
143000	96
144000	336
145000	132
146000	127
147000	130
148000	99
149000	108
150000	99
151000	99
152000	159
153000	120
154000	97
155000	158
156000	186
157000	248
158000	130
159000	137
160000	106
161000	116
162000	103
163000	93
164000	143
165000	87
166000	107
167000	129
168000	427
169000	162
170000	92
171000	117
172000	86
173000	129
174000	132
175000	84
176000	155
177000	63
178000	95
179000	86
180000	124
181000	145
182000	109
183000	87
184000	82
185000	108
186000	88
187000	109
188000	138
189000	62
190000	140
191000	120
192000	512
193000	171
194000	96
195000	115
196000	98
197000	98
198000	97
199000	129
200000	145
201000	114
202000	138
203000	86
204000	133
205000	117
206000	98
207000	136
208000	123
209000	116
210000	93
211000	182
212000	249
213000	268
214000	761
215000	2722
216000	8701
217000	8942
218000	6342
219000	5366
220000	4671
221000	4788
222000	4973
223000	4557
224000	6527
225000	4911
226000	4431
227000	4569
228000	5344
229000	5488
230000	5269
231000	4757
232000	4495
233000	4419
234000	4593
235000	4717
236000	6286
237000	4507
238000	3981
239000	4886
240000	1588550
